# JIS-X0213 aka Shift JIS character mapping table
0x00 0x0000
0x816e 0xff3d
0x816f 0xff5b
0x8170 0xff5d
0x8171 0x3008
0x8172 0x3009
0x8173 0x300a
0x8174 0x300b
0x8175 0x300c
0x8176 0x300d
0x8177 0x300e
0x8178 0x300f
0x8179 0x3010
0x817a 0x3011
0x817b 0xff0b
0x817c 0x2212
0x817d 0x00b1
0x817e 0x00d7
0x8180 0x00f7
0x8181 0xff1d
0x8182 0x2260
0x8183 0xff1c
0x8184 0xff1e
0x8185 0x2266
0x8186 0x2267
0x8187 0x221e
0x8188 0x2234
0x8189 0x2642
0x818a 0x2640
0x818b 0x00b0
0x818c 0x2032
0x818d 0x2033
0x818e 0x2103
0x818f 0xffe5
0x8190 0xff04
0x8191 0x00a2
0x8192 0x00a3
0x8193 0xff05
0x8194 0xff03
0x8195 0xff06
0x8196 0xff0a
0x8197 0xff20
0x8198 0x00a7
0x8199 0x2606
0x819a 0x2605
0x819b 0x25cb
0x819c 0x25cf
0x819d 0x25ce
0x819e 0x25c7
0x819f 0x25c6
0x81a0 0x25a1
0x81a1 0x25a0
0x81a2 0x25b3
0x81a3 0x25b2
0x81a4 0x25bd
0x81a5 0x25bc
0x81a6 0x203b
0x81a7 0x3012
0x81a8 0x2192
0x81a9 0x2190
0x81aa 0x2191
0x81ab 0x2193
0x81ac 0x3013
0x81ad 0xff07
0x81ae 0xff02
0x81af 0xff0d
0x81b0 0x007e
0x81b1 0x3033
0x81b2 0x3034
0x81b3 0x3035
0x81b4 0x303b
0x81b5 0x303c
0x81b6 0x30ff
0x81b7 0x309f
0x81b8 0x2208
0x81b9 0x220b
0x81ba 0x2286
0x81bb 0x2287
0x81bc 0x2282
0x81bd 0x2283
0x81be 0x222a
0x81bf 0x2229
0x81c0 0x2284
0x81c1 0x2285
0x81c2 0x228a
0x81c3 0x228b
0x81c4 0x2209
0x81c5 0x2205
0x81c6 0x2305
0x81c7 0x2306
0x81c8 0x2227
0x81c9 0x2228
0x81ca 0x00ac
0x81cb 0x21d2
0x81cc 0x21d4
0x81cd 0x2200
0x81ce 0x2203
0x81cf 0x2295
0x81d0 0x2296
0x81d1 0x2297
0x81d2 0x2225
0x81d3 0x2226
0x81d4 0xff5f
0x81d5 0xff60
0x81d6 0x3018
0x81d7 0x3019
0x81d8 0x3016
0x81d9 0x3017
0x81da 0x2220
0x81db 0x22a5
0x81dc 0x2312
0x81dd 0x2202
0x81de 0x2207
0x81df 0x2261
0x81e0 0x2252
0x81e1 0x226a
0x81e2 0x226b
0x81e3 0x221a
0x81e4 0x223d
0x81e5 0x221d
0x81e6 0x2235
0x81e7 0x222b
0x81e8 0x222c
0x81e9 0x2262
0x81ea 0x2243
0x81eb 0x2245
0x81ec 0x2248
0x81ed 0x2276
0x81ee 0x2277
0x81ef 0x2194
0x81f0 0x212b
0x81f1 0x2030
0x81f2 0x266f
0x81f3 0x266d
0x81f4 0x266a
0x81f5 0x2020
0x81f6 0x2021
0x81f7 0x00b6
0x81f8 0x266e
0x81f9 0x266b
0x81fa 0x266c
0x81fb 0x2669
0x81fc 0x25ef
0x8240 0x25b7
0x8241 0x25b6
0x8242 0x25c1
0x8243 0x25c0
0x8244 0x2197
0x8245 0x2198
0x8246 0x2196
0x8247 0x2199
0x8248 0x21c4
0x8249 0x21e8
0x824a 0x21e6
0x824b 0x21e7
0x824c 0x21e9
0x824d 0x2934
0x824e 0x2935
0x824f 0xff10
0x8250 0xff11
0x8251 0xff12
0x8252 0xff13
0x8253 0xff14
0x8254 0xff15
0x8255 0xff16
0x8256 0xff17
0x8257 0xff18
0x8258 0xff19
0x8259 0x29bf
0x825a 0x25c9
0x825b 0x303d
0x825c 0xfe46
0x825d 0xfe45
0x825e 0x25e6
0x825f 0x2022
0x8260 0xff21
0x8261 0xff22
0x8262 0xff23
0x8263 0xff24
0x8264 0xff25
0x8265 0xff26
0x8266 0xff27
0x8267 0xff28
0x8268 0xff29
0x8269 0xff2a
0x826a 0xff2b
0x826b 0xff2c
0x826c 0xff2d
0x826d 0xff2e
0x826e 0xff2f
0x826f 0xff30
0x8270 0xff31
0x8271 0xff32
0x8272 0xff33
0x8273 0xff34
0x8274 0xff35
0x8275 0xff36
0x8276 0xff37
0x8277 0xff38
0x8278 0xff39
0x8279 0xff3a
0x827a 0x2213
0x827b 0x2135
0x827c 0x210f
0x827d 0x33cb
0x827e 0x2113
0x8280 0x2127
0x8281 0xff41
0x8282 0xff42
0x8283 0xff43
0x8284 0xff44
0x8285 0xff45
0x8286 0xff46
0x8287 0xff47
0x8288 0xff48
0x8289 0xff49
0x828a 0xff4a
0x828b 0xff4b
0x828c 0xff4c
0x828d 0xff4d
0x828e 0xff4e
0x828f 0xff4f
0x8290 0xff50
0x8291 0xff51
0x8292 0xff52
0x8293 0xff53
0x8294 0xff54
0x8295 0xff55
0x8296 0xff56
0x8297 0xff57
0x8298 0xff58
0x8299 0xff59
0x829a 0xff5a
0x829b 0x30a0
0x829c 0x2013
0x829d 0x29fa
0x829e 0x29fb
0x829f 0x3041
0x82a0 0x3042
0x82a1 0x3043
0x82a2 0x3044
0x82a3 0x3045
0x82a4 0x3046
0x82a5 0x3047
0x82a6 0x3048
0x82a7 0x3049
0x82a8 0x304a
0x82a9 0x304b
0x82aa 0x304c
0x82ab 0x304d
0x82ac 0x304e
0x82ad 0x304f
0x82ae 0x3050
0x82af 0x3051
0x82b0 0x3052
0x82b1 0x3053
0x82b2 0x3054
0x82b3 0x3055
0x82b4 0x3056
0x82b5 0x3057
0x82b6 0x3058
0x82b7 0x3059
0x82b8 0x305a
0x82b9 0x305b
0x82ba 0x305c
0x82bb 0x305d
0x82bc 0x305e
0x82bd 0x305f
0x82be 0x3060
0x82bf 0x3061
0x82c0 0x3062
0x82c1 0x3063
0x82c2 0x3064
0x82c3 0x3065
0x82c4 0x3066
0x82c5 0x3067
0x82c6 0x3068
0x82c7 0x3069
0x82c8 0x306a
0x82c9 0x306b
0x82ca 0x306c
0x82cb 0x306d
0x82cc 0x306e
0x82cd 0x306f
0x82ce 0x3070
0x82cf 0x3071
0x82d0 0x3072
0x82d1 0x3073
0x82d2 0x3074
0x82d3 0x3075
0x82d4 0x3076
0x82d5 0x3077
0x82d6 0x3078
0x82d7 0x3079
0x82d8 0x307a
0x82d9 0x307b
0x82da 0x307c
0x82db 0x307d
0x82dc 0x307e
0x82dd 0x307f
0x82de 0x3080
0x82df 0x3081
0x82e0 0x3082
0x82e1 0x3083
0x82e2 0x3084
0x82e3 0x3085
0x82e4 0x3086
0x82e5 0x3087
0x82e6 0x3088
0x82e7 0x3089
0x82e8 0x308a
0x82e9 0x308b
0x82ea 0x308c
0x82eb 0x308d
0x82ec 0x308e
0x82ed 0x308f
0x82ee 0x3090
0x82ef 0x3091
0x82f0 0x3092
0x82f1 0x3093
0x82f2 0x3094
0x82f3 0x3095
0x82f4 0x3096
0x82f5 0x304b
0x82f6 0x304d
0x82f7 0x304f
0x82f8 0x3051
0x82f9 0x3053
0x8340 0x30a1
0x8341 0x30a2
0x8342 0x30a3
0x8343 0x30a4
0x8344 0x30a5
0x8345 0x30a6
0x8346 0x30a7
0x8347 0x30a8
0x8348 0x30a9
0x8349 0x30aa
0x834a 0x30ab
0x834b 0x30ac
0x834c 0x30ad
0x834d 0x30ae
0x834e 0x30af
0x834f 0x30b0
0x8350 0x30b1
0x8351 0x30b2
0x8352 0x30b3
0x8353 0x30b4
0x8354 0x30b5
0x8355 0x30b6
0x8356 0x30b7
0x8357 0x30b8
0x8358 0x30b9
0x8359 0x30ba
0x835a 0x30bb
0x835b 0x30bc
0x835c 0x30bd
0x835d 0x30be
0x835e 0x30bf
0x835f 0x30c0
0x8360 0x30c1
0x8361 0x30c2
0x8362 0x30c3
0x8363 0x30c4
0x8364 0x30c5
0x8365 0x30c6
0x8366 0x30c7
0x8367 0x30c8
0x8368 0x30c9
0x8369 0x30ca
0x836a 0x30cb
0x836b 0x30cc
0x836c 0x30cd
0x836d 0x30ce
0x836e 0x30cf
0x836f 0x30d0
0x8370 0x30d1
0x8371 0x30d2
0x8372 0x30d3
0x8373 0x30d4
0x8374 0x30d5
0x8375 0x30d6
0x8376 0x30d7
0x8377 0x30d8
0x8378 0x30d9
0x8379 0x30da
0x837a 0x30db
0x837b 0x30dc
0x837c 0x30dd
0x837d 0x30de
0x837e 0x30df
0x8380 0x30e0
0x8381 0x30e1
0x8382 0x30e2
0x8383 0x30e3
0x8384 0x30e4
0x8385 0x30e5
0x8386 0x30e6
0x8387 0x30e7
0x8388 0x30e8
0x8389 0x30e9
0x838a 0x30ea
0x838b 0x30eb
0x838c 0x30ec
0x838d 0x30ed
0x838e 0x30ee
0x838f 0x30ef
0x8390 0x30f0
0x8391 0x30f1
0x8392 0x30f2
0x8393 0x30f3
0x8394 0x30f4
0x8395 0x30f5
0x8396 0x30f6
0x8397 0x30ab
0x8398 0x30ad
0x8399 0x30af
0x839a 0x30b1
0x839b 0x30b3
0x839c 0x30bb
0x839d 0x30c4
0x839e 0x30c8
0x839f 0x0391
0x83a0 0x0392
0x83a1 0x0393
0x83a2 0x0394
0x83a3 0x0395
0x83a4 0x0396
0x83a5 0x0397
0x83a6 0x0398
0x83a7 0x0399
0x83a8 0x039a
0x83a9 0x039b
0x83aa 0x039c
0x83ab 0x039d
0x83ac 0x039e
0x83ad 0x039f
0x83ae 0x03a0
0x83af 0x03a1
0x83b0 0x03a3
0x83b1 0x03a4
0x83b2 0x03a5
0x83b3 0x03a6
0x83b4 0x03a7
0x83b5 0x03a8
0x83b6 0x03a9
0x83b7 0x2664
0x83b8 0x2660
0x83b9 0x2662
0x83ba 0x2666
0x83bb 0x2661
0x83bc 0x2665
0x83bd 0x2667
0x83be 0x2663
0x83bf 0x03b1
0x83c0 0x03b2
0x83c1 0x03b3
0x83c2 0x03b4
0x83c3 0x03b5
0x83c4 0x03b6
0x83c5 0x03b7
0x83c6 0x03b8
0x83c7 0x03b9
0x83c8 0x03ba
0x83c9 0x03bb
0x83ca 0x03bc
0x83cb 0x03bd
0x83cc 0x03be
0x83cd 0x03bf
0x83ce 0x03c0
0x83cf 0x03c1
0x83d0 0x03c3
0x83d1 0x03c4
0x83d2 0x03c5
0x83d3 0x03c6
0x83d4 0x03c7
0x83d5 0x03c8
0x83d6 0x03c9
0x83d7 0x03c2
0x83d8 0x24f5
0x83d9 0x24f6
0x83da 0x24f7
0x83db 0x24f8
0x83dc 0x24f9
0x83dd 0x24fa
0x83de 0x24fb
0x83df 0x24fc
0x83e0 0x24fd
0x83e1 0x24fe
0x83e2 0x2616
0x83e3 0x2617
0x83e4 0x3020
0x83e5 0x260e
0x83e6 0x2600
0x83e7 0x2601
0x83e8 0x2602
0x83e9 0x2603
0x83ea 0x2668
0x83eb 0x25b1
0x83ec 0x31f0
0x83ed 0x31f1
0x83ee 0x31f2
0x83ef 0x31f3
0x83f0 0x31f4
0x83f1 0x31f5
0x83f2 0x31f6
0x83f3 0x31f7
0x83f4 0x31f8
0x83f5 0x31f9
0x83f6 0x31f7
0x83f7 0x31fa
0x83f8 0x31fb
0x83f9 0x31fc
0x83fa 0x31fd
0x83fb 0x31fe
0x83fc 0x31ff
0x8440 0x0410
0x8441 0x0411
0x8442 0x0412
0x8443 0x0413
0x8444 0x0414
0x8445 0x0415
0x8446 0x0401
0x8447 0x0416
0x8448 0x0417
0x8449 0x0418
0x844a 0x0419
0x844b 0x041a
0x844c 0x041b
0x844d 0x041c
0x844e 0x041d
0x844f 0x041e
0x8450 0x041f
0x8451 0x0420
0x8452 0x0421
0x8453 0x0422
0x8454 0x0423
0x8455 0x0424
0x8456 0x0425
0x8457 0x0426
0x8458 0x0427
0x8459 0x0428
0x845a 0x0429
0x845b 0x042a
0x845c 0x042b
0x845d 0x042c
0x845e 0x042d
0x845f 0x042e
0x8460 0x042f
0x8461 0x23be
0x8462 0x23bf
0x8463 0x23c0
0x8464 0x23c1
0x8465 0x23c2
0x8466 0x23c3
0x8467 0x23c4
0x8468 0x23c5
0x8469 0x23c6
0x846a 0x23c7
0x846b 0x23c8
0x846c 0x23c9
0x846d 0x23ca
0x846e 0x23cb
0x846f 0x23cc
0x8470 0x0430
0x8471 0x0431
0x8472 0x0432
0x8473 0x0433
0x8474 0x0434
0x8475 0x0435
0x8476 0x0451
0x8477 0x0436
0x8478 0x0437
0x8479 0x0438
0x847a 0x0439
0x847b 0x043a
0x847c 0x043b
0x847d 0x043c
0x847e 0x043d
0x8480 0x043e
0x8481 0x043f
0x8482 0x0440
0x8483 0x0441
0x8484 0x0442
0x8485 0x0443
0x8486 0x0444
0x8487 0x0445
0x8488 0x0446
0x8489 0x0447
0x848a 0x0448
0x848b 0x0449
0x848c 0x044a
0x848d 0x044b
0x848e 0x044c
0x848f 0x044d
0x8490 0x044e
0x8491 0x044f
0x8492 0x30f7
0x8493 0x30f8
0x8494 0x30f9
0x8495 0x30fa
0x8496 0x22da
0x8497 0x22db
0x8498 0x2153
0x8499 0x2154
0x849a 0x2155
0x849b 0x2713
0x849c 0x2318
0x849d 0x2423
0x849e 0x23ce
0x849f 0x2500
0x84a0 0x2502
0x84a1 0x250c
0x84a2 0x2510
0x84a3 0x2518
0x84a4 0x2514
0x84a5 0x251c
0x84a6 0x252c
0x84a7 0x2524
0x84a8 0x2534
0x84a9 0x253c
0x84aa 0x2501
0x84ab 0x2503
0x84ac 0x250f
0x84ad 0x2513
0x84ae 0x251b
0x84af 0x2517
0x84b0 0x2523
0x84b1 0x2533
0x84b2 0x252b
0x84b3 0x253b
0x84b4 0x254b
0x84b5 0x2520
0x84b6 0x252f
0x84b7 0x2528
0x84b8 0x2537
0x84b9 0x253f
0x84ba 0x251d
0x84bb 0x2530
0x84bc 0x2525
0x84bd 0x2538
0x84be 0x2542
0x84bf 0x3251
0x84c0 0x3252
0x84c1 0x3253
0x84c2 0x3254
0x84c3 0x3255
0x84c4 0x3256
0x84c5 0x3257
0x84c6 0x3258
0x84c7 0x3259
0x84c8 0x325a
0x84c9 0x325b
0x84ca 0x325c
0x84cb 0x325d
0x84cc 0x325e
0x84cd 0x325f
0x84ce 0x32b1
0x84cf 0x32b2
0x84d0 0x32b3
0x84d1 0x32b4
0x84d2 0x32b5
0x84d3 0x32b6
0x84d4 0x32b7
0x84d5 0x32b8
0x84d6 0x32b9
0x84d7 0x32ba
0x84d8 0x32bb
0x84d9 0x32bc
0x84da 0x32bd
0x84db 0x32be
0x84dc 0x32bf
0x84e5 0x25d0
0x84e6 0x25d1
0x84e7 0x25d2
0x84e8 0x25d3
0x84e9 0x203c
0x84ea 0x2047
0x84eb 0x2048
0x84ec 0x2049
0x84ed 0x01cd
0x84ee 0x01ce
0x84ef 0x01d0
0x84f0 0x1e3e
0x84f1 0x1e3f
0x84f2 0x01f8
0x84f3 0x01f9
0x84f4 0x01d1
0x84f5 0x01d2
0x84f6 0x01d4
0x84f7 0x01d6
0x84f8 0x01d8
0x84f9 0x01da
0x84fa 0x01dc
0x8540 0x20ac
0x8541 0x00a0
0x8542 0x00a1
0x8543 0x00a4
0x8544 0x00a6
0x8545 0x00a9
0x8546 0x00aa
0x8547 0x00ab
0x8548 0x00ad
0x8549 0x00ae
0x854a 0x00af
0x854b 0x00b2
0x854c 0x00b3
0x854d 0x00b7
0x854e 0x00b8
0x854f 0x00b9
0x8550 0x00ba
0x8551 0x00bb
0x8552 0x00bc
0x8553 0x00bd
0x8554 0x00be
0x8555 0x00bf
0x8556 0x00c0
0x8557 0x00c1
0x8558 0x00c2
0x8559 0x00c3
0x855a 0x00c4
0x855b 0x00c5
0x855c 0x00c6
0x855d 0x00c7
0x855e 0x00c8
0x855f 0x00c9
0x8560 0x00ca
0x8561 0x00cb
0x8562 0x00cc
0x8563 0x00cd
0x8564 0x00ce
0x8565 0x00cf
0x8566 0x00d0
0x8567 0x00d1
0x8568 0x00d2
0x8569 0x00d3
0x856a 0x00d4
0x856b 0x00d5
0x856c 0x00d6
0x856d 0x00d8
0x856e 0x00d9
0x856f 0x00da
0x8570 0x00db
0x8571 0x00dc
0x8572 0x00dd
0x8573 0x00de
0x8574 0x00df
0x8575 0x00e0
0x8576 0x00e1
0x8577 0x00e2
0x8578 0x00e3
0x8579 0x00e4
0x857a 0x00e5
0x857b 0x00e6
0x857c 0x00e7
0x857d 0x00e8
0x857e 0x00e9
0x8580 0x00ea
0x8581 0x00eb
0x8582 0x00ec
0x8583 0x00ed
0x8584 0x00ee
0x8585 0x00ef
0x8586 0x00f0
0x8587 0x00f1
0x8588 0x00f2
0x8589 0x00f3
0x858a 0x00f4
0x858b 0x00f5
0x858c 0x00f6
0x858d 0x00f8
0x858e 0x00f9
0x858f 0x00fa
0x8590 0x00fb
0x8591 0x00fc
0x8592 0x00fd
0x8593 0x00fe
0x8594 0x00ff
0x8595 0x0100
0x8596 0x012a
0x8597 0x016a
0x8598 0x0112
0x8599 0x014c
0x859a 0x0101
0x859b 0x012b
0x859c 0x016b
0x859d 0x0113
0x859e 0x014d
0x859f 0x0104
0x85a0 0x02d8
0x85a1 0x0141
0x85a2 0x013d
0x85a3 0x015a
0x85a4 0x0160
0x85a5 0x015e
0x85a6 0x0164
0x85a7 0x0179
0x85a8 0x017d
0x85a9 0x017b
0x85aa 0x0105
0x85ab 0x02db
0x85ac 0x0142
0x85ad 0x013e
0x85ae 0x015b
0x85af 0x02c7
0x85b0 0x0161
0x85b1 0x015f
0x85b2 0x0165
0x85b3 0x017a
0x85b4 0x02dd
0x85b5 0x017e
0x85b6 0x017c
0x85b7 0x0154
0x85b8 0x0102
0x85b9 0x0139
0x85ba 0x0106
0x85bb 0x010c
0x85bc 0x0118
0x85bd 0x011a
0x85be 0x010e
0x85bf 0x0143
0x85c0 0x0147
0x85c1 0x0150
0x85c2 0x0158
0x85c3 0x016e
0x85c4 0x0170
0x85c5 0x0162
0x85c6 0x0155
0x85c7 0x0103
0x85c8 0x013a
0x85c9 0x0107
0x85ca 0x010d
0x85cb 0x0119
0x85cc 0x011b
0x85cd 0x010f
0x85ce 0x0111
0x85cf 0x0144
0x85d0 0x0148
0x85d1 0x0151
0x85d2 0x0159
0x85d3 0x016f
0x85d4 0x0171
0x85d5 0x0163
0x85d6 0x02d9
0x85d7 0x0108
0x85d8 0x011c
0x85d9 0x0124
0x85da 0x0134
0x85db 0x015c
0x85dc 0x016c
0x85dd 0x0109
0x85de 0x011d
0x85df 0x0125
0x85e0 0x0135
0x85e1 0x015d
0x85e2 0x016d
0x85e3 0x0271
0x85e4 0x028b
0x85e5 0x027e
0x85e6 0x0283
0x85e7 0x0292
0x85e8 0x026c
0x85e9 0x026e
0x85ea 0x0279
0x85eb 0x0288
0x85ec 0x0256
0x85ed 0x0273
0x85ee 0x027d
0x85ef 0x0282
0x85f0 0x0290
0x85f1 0x027b
0x85f2 0x026d
0x85f3 0x025f
0x85f4 0x0272
0x85f5 0x029d
0x85f6 0x028e
0x85f7 0x0261
0x85f8 0x014b
0x85f9 0x0270
0x85fa 0x0281
0x85fb 0x0127
0x85fc 0x0295
0x8640 0x0294
0x8641 0x0266
0x8642 0x0298
0x8643 0x01c2
0x8644 0x0253
0x8645 0x0257
0x8646 0x0284
0x8647 0x0260
0x8648 0x0193
0x8649 0x0153
0x864a 0x0152
0x864b 0x0268
0x864c 0x0289
0x864d 0x0258
0x864e 0x0275
0x864f 0x0259
0x8650 0x025c
0x8651 0x025e
0x8652 0x0250
0x8653 0x026f
0x8654 0x028a
0x8655 0x0264
0x8656 0x028c
0x8657 0x0254
0x8658 0x0251
0x8659 0x0252
0x865a 0x028d
0x865b 0x0265
0x865c 0x02a2
0x865d 0x02a1
0x865e 0x0255
0x865f 0x0291
0x8660 0x027a
0x8661 0x0267
0x8662 0x025a
0x8663 0x00e6
0x8664 0x01fd
0x8665 0x1f70
0x8666 0x1f71
0x8667 0x0254
0x8668 0x0254
0x8669 0x028c
0x866a 0x028c
0x866b 0x0259
0x866c 0x0259
0x866d 0x025a
0x866e 0x025a
0x866f 0x1f72
0x8670 0x1f73
0x8671 0x0361
0x8672 0x02c8
0x8673 0x02cc
0x8674 0x02d0
0x8675 0x02d1
0x8676 0x0306
0x8677 0x203f
0x8678 0x030b
0x8679 0x0301
0x867a 0x0304
0x867b 0x0300
0x867c 0x030f
0x867d 0x030c
0x867e 0x0302
0x8680 0x02e5
0x8681 0x02e6
0x8682 0x02e7
0x8683 0x02e8
0x8684 0x02e9
0x8685 0x02e9
0x8686 0x02e5
0x8687 0x0325
0x8688 0x032c
0x8689 0x0339
0x868a 0x031c
0x868b 0x031f
0x868c 0x0320
0x868d 0x0308
0x868e 0x033d
0x868f 0x0329
0x8690 0x032f
0x8691 0x02de
0x8692 0x0324
0x8693 0x0330
0x8694 0x033c
0x8695 0x0334
0x8696 0x031d
0x8697 0x031e
0x8698 0x0318
0x8699 0x0319
0x869a 0x032a
0x869b 0x033a
0x869c 0x033b
0x869d 0x0303
0x869e 0x031a
0x869f 0x2776
0x86a0 0x2777
0x86a1 0x2778
0x86a2 0x2779
0x86a3 0x277a
0x86a4 0x277b
0x86a5 0x277c
0x86a6 0x277d
0x86a7 0x277e
0x86a8 0x277f
0x86a9 0x24eb
0x86aa 0x24ec
0x86ab 0x24ed
0x86ac 0x24ee
0x86ad 0x24ef
0x86ae 0x24f0
0x86af 0x24f1
0x86b0 0x24f2
0x86b1 0x24f3
0x86b2 0x24f4
0x86b3 0x2170
0x86b4 0x2171
0x86b5 0x2172
0x86b6 0x2173
0x86b7 0x2174
0x86b8 0x2175
0x86b9 0x2176
0x86ba 0x2177
0x86bb 0x2178
0x86bc 0x2179
0x86bd 0x217a
0x86be 0x217b
0x86bf 0x24d0
0x86c0 0x24d1
0x86c1 0x24d2
0x86c2 0x24d3
0x86c3 0x24d4
0x86c4 0x24d5
0x86c5 0x24d6
0x86c6 0x24d7
0x86c7 0x24d8
0x86c8 0x24d9
0x86c9 0x24da
0x86ca 0x24db
0x86cb 0x24dc
0x86cc 0x24dd
0x86cd 0x24de
0x86ce 0x24df
0x86cf 0x24e0
0x86d0 0x24e1
0x86d1 0x24e2
0x86d2 0x24e3
0x86d3 0x24e4
0x86d4 0x24e5
0x86d5 0x24e6
0x86d6 0x24e7
0x86d7 0x24e8
0x86d8 0x24e9
0x86d9 0x32d0
0x86da 0x32d1
0x86db 0x32d2
0x86dc 0x32d3
0x86dd 0x32d4
0x86de 0x32d5
0x86df 0x32d6
0x86e0 0x32d7
0x86e1 0x32d8
0x86e2 0x32d9
0x86e3 0x32da
0x86e4 0x32db
0x86e5 0x32dc
0x86e6 0x32dd
0x86e7 0x32de
0x86e8 0x32df
0x86e9 0x32e0
0x86ea 0x32e1
0x86eb 0x32e2
0x86ec 0x32e3
0x86ed 0x32fa
0x86ee 0x32e9
0x86ef 0x32e5
0x86f0 0x32ed
0x86f1 0x32ec
0x86fb 0x2051
0x86fc 0x2042
0x8740 0x2460
0x8741 0x2461
0x8742 0x2462
0x8743 0x2463
0x8744 0x2464
0x8745 0x2465
0x8746 0x2466
0x8747 0x2467
0x8748 0x2468
